vcs_id,lat,lon,inclusion_status,project_name,syear,country,iso3,continent,area_ha
852,17.78646979999999,-88.7866376,"Insufficient temporal
 records",Rio Bravo Climate Action Project,1996,Belize,BLZ,Americas,6329.87974778813
812,17.0469403,-88.9109468,Forest type excluded,Bull Run Overseas Forest Carbon Project,2009,Belize,BLZ,Americas,676.2345283910021
647,16.309632499999992,-88.7934548,Forest type excluded,Boden Creek Ecological Preserve Forest Carbon Project,2005,Belize,BLZ,Americas,5477.23911789872
1326,17.571013,-89.051749,"Included in the
analysis",Laguna Seca Forest Carbon Project,2011,Belize,BLZ,Americas,8722.93965950974
818,-12.1479357,-66.2868983,Forest type excluded,Protection of the Bolivian Amazon Forest,2011,Bolivia,BOL,Americas,236.03089193771203
1686,-9.0263889,-70.8186111,"Included in the
analysis",Agrocortex REDD Project,2014,Brazil,BRA,Americas,187739.664350347
1113,-8.1163979,-72.6060056,"Included in the
analysis",The Valparaiso Project,2011,Brazil,BRA,Americas,29195.032421186002
1112,-8.0950211,-72.6422022,"Included in the
analysis",The Russas Project,2011,Brazil,BRA,Americas,42788.439911871305
1571,-8.9956631,-62.534638,"Included in the
analysis",Manoa REDD+ Project,2013,Brazil,BRA,Americas,73619.6413383372
1503,-8.863412900000004,-62.2882304,"Included in the
analysis",Resex Rio Preto-Jacundá REDD+ Project,2012,Brazil,BRA,Americas,101591.981198601
1382,-8.8474453,-70.1771758,"Included in the
analysis","The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",2012,Brazil,BRA,Americas,39749.1890654508
1329,-3.230831700000001,-49.3368629,"Included in the
analysis",Maísa REDD+ Project,2012,Brazil,BRA,Americas,30242.369900320104
1118,-11.0099452,-61.1514804,"Included in the
analysis",Suruí Forest Carbon Project,2009,Brazil,BRA,Americas,33626.357870499996
1115,-0.8165374,-52.3724569,"Included in the
analysis",JARI/AMAPÁ REDD+ PROJECT,2011,Brazil,BRA,Americas,78232.1668368713
1094,-1.050581,-50.427069,"Included in the
analysis",Ecomapua Amazon REDD Project,2002,Brazil,BRA,Americas,99149.0400777437
981,-2.8939565999999997,-51.1882099,"Included in the
analysis",ADPML PORTEL-PARA REDD PROJECT,2008,Brazil,BRA,Americas,150204.42104407202
977,-2.816277099999999,-50.7509091,"Included in the
analysis",RMDLT PORTEL-PARA REDD PROJECT,2008,Brazil,BRA,Americas,211131.269124484
963,-8.9777735,-69.4729291,"Included in the
analysis",The Purus Project,2011,Brazil,BRA,Americas,35745.483659260004
875,-9.1653714,-59.3554064,"Included in the
analysis",FLORESTAL SANTA MARIA PROJECT,2009,Brazil,BRA,Americas,72120.3311531402
PL1654,-8.9098518,-66.1550537,"Included in the
analysis",Fortaleza Ituxi REDD Project,2013,Brazil,BRA,Americas,47327.42580622461
832,-3.2371492,-48.3078099,Forest type excluded,Cikel Brazilian Amazon REDD APD Project   Avoiding Planned Deforestation,2007,Brazil,BRA,Americas,29862.0241134326
CCB1596,-5.651,-60.591,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
CCB1642,-4.34225,-66.549049,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
904,14.2674192,103.7862522,Forest type excluded,"Reduced Emissions from Deforestation and Degradation in Community Forests – Oddar Meanchey, Cambodia",2008,Cambodia,KHM,Asia,63219.864431702306
PL1689,12.9836612,105.4280581,"Insufficient temporal
 records",Tumring REDD+ Project,2015,Cambodia,KHM,Asia,68252.7232678406
1650,12.3148243,106.6849035,Forest type excluded,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,2010,Cambodia,KHM,Asia,173280.17623324203
PL1748,11.5435249,103.4931603,"Included in the
analysis",Southern Cardamoms REDD+ Project,2015,Cambodia,KHM,Asia,500451.929456926
1566,4.244444,-68.393333,"Included in the
analysis",REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM) (started 2013),2013,Colombia,COL,Americas,1557189.5889257402
PL1695,4.888858,-73.366905,Forest type excluded,Scheme of Compensation for Ecosystem Services for Forest Management and Conservation of Water Sources in the Jurisdiction of CORPOCHIVOR,2014,Colombia,COL,Americas,2454.54590839556
1400,4.490648200000002,-77.3181474,"Included in the
analysis",Concosta REDD+ Project,2013,Colombia,COL,Americas,64997.4301714668
1392,3.292603599999999,-77.1282649,"Included in the
analysis",Cajambre REDD+ Project,2013,Colombia,COL,Americas,65844.7900577816
1390,6.7855833,-77.1121944,"Included in the
analysis",Carmen del Darién (CDD) REDD+ Project,2014,Colombia,COL,Americas,134242.60247806303
1389,1.816785,-78.5264357,"Included in the
analysis",Acapa -­ Bajo Mira Y Frontera REDD+ Project,2013,Colombia,COL,Americas,55447.9148036915
1395,4.0344,-76.9775,"Included in the
analysis",Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,2013,Colombia,COL,Americas,91971.09837966142
1399,7.1342804,-76.4671942,"Included in the
analysis",Mutatá REDD+ Project,2013,Colombia,COL,Americas,40471.121068676104
1396,5.0726385,-76.8862711,"Included in the
analysis",Rio Pepe y ACABA REDD+ Project,2014,Colombia,COL,Americas,61132.29082131751
1391,4.9155278,-77.35975,"Included in the
analysis",SUPP REDD+ Project,2013,Colombia,COL,Americas,54210.168027386906
856,8.468404500000004,-77.341723,"Included in the
analysis",The Chocó-Darién Conservation Corridor REDD Project,2010,Colombia,COL,Americas,10686.9326751837
PL1657,6.031622000000002,-73.252177,"Insufficient temporal
 records","Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",2015,Colombia,COL,Americas,7168.8463260608605
PL1765,1.7640274,-76.2597825,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
1052,0.8242733,16.1811976,"Included in the
analysis",North Pikounda REDD+,2012,Congo,COG,Africa,92735.1766426489
1359,0.0750688,23.8381674,"Included in the
analysis",Isangi REDD+ Project,2009,"Congo, the Democratic Republic of the",COD,Africa,199421.241748545
934,-1.9571896999999996,18.0439333,"Included in the
analysis",The Mai Ndombe REDD+ Project,2011,"Congo, the Democratic Republic of the",COD,Africa,279650.257709381
CCB1601,9.977282,-83.854092,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
CCB1604,13.5,-89.4,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
1340,6.6222495,40.0038752,Forest type excluded,Bale Mountains Eco-region REDD+ project,2012,Ethiopia,ETH,Africa,256878.40741153003
1622,15.2168307,-88.8915662,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
1541,16.64212999999999,-90.5666323,Forest type excluded,Lacandon – Forest for life REDD+ Project,2012,Guatemala,GTM,Americas,204980.09708574702
1384,17.2095585,-89.6313006,Forest type excluded,Reduced Emissions from Avoided Deforestation in the Multiple Use Zone of the Maya Biosphere Reserve in Guatemala (GuateCarbon),2012,Guatemala,GTM,Americas,726387.742869707
1477,-2.382579,113.267275,"Included in the
analysis",Katingan Peatland Restoration and Conservation Project,2010,Indonesia,IDN,Asia,150715.35635716
674,-3.1063677000000007,112.2992452,Forest type excluded,Rimba Raya Biodiversity Reserve Project,2008,Indonesia,IDN,Asia,47573.8692621907
CCB1598,4.759461000000002,96.211131,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
1408,-2.806912899999999,37.6880051,Forest type excluded,Chyulu Hills REDD+ Project,2013,Kenya,KEN,Africa,416188.691798127
612,-3.917673899999999,38.805582,Forest type excluded,The Kasigau Corridor REDD Project - Phase II The Community Ranches,2010,Kenya,KEN,Africa,175370.966614063
562,-3.674267999999999,38.7855085,"Insufficient temporal
 records",The Kasigau Corridor REDD Project – Phase I Rukinga Sanctuary,1998,Kenya,KEN,Africa,30590.182556921704
1398,14.385718200000005,106.1534034,Forest type excluded,Reducing Emissions from Deforestation and Carbon Enhancement in Xe Pian National Protected Area,2013,Laos,LAO,Asia,142869.54201355402
1311,-17.762010499999988,48.8462834,"Included in the
analysis","Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar",2008,Madagascar,MDG,Africa,392642.631475912
1215,-15.1792765,49.5387225,"Included in the
analysis",The Makira Forest Protected Area in Madagascar,2005,Madagascar,MDG,Africa,374708.45678086404
1047,-22.272519799999987,47.2990445,"Included in the
analysis","Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar",2007,Madagascar,MDG,Africa,144335.470531299
PL1743,-24.15776170000001,47.0587503,"Insufficient temporal
 records",Beampingaratsy REDD Project,2017,Madagascar,MDG,Africa,65962.2289705243
1168,-12.91729,33.9389598,Forest type excluded,"Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi",2009,Malawi,MWI,Africa,218646.527638625
PL1674,-16.5399475,38.2767461,Forest type excluded,Gilé National Reserve REDD Project,2012,Mozambique,MOZ,Africa,153752.667489682
1122,-4.663520399999999,142.6792644,"Included in the
analysis",April Salumei REDD Project,2009,Papua New Guinea,PNG,Oceania,653932.6303521141
1403,-26.92326,-55.9713798,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
953,-20.96704189999999,-58.9765988,Forest type excluded,The Paraguay Forest Conservation Project - Reduction of GHG emissions from deforestation and forest degradation in the Chaco-Pantanal ecosystem,2011,Paraguay,PRY,Americas,4902.28071371283
958,-7.533798600000002,-77.2749742,"Included in the
analysis",BIOCORREDOR MARTIN SAGRADO REDD+ PROJECT,2010,Peru,PER,Americas,300274.935293639
1360,-9.201951099999995,-74.3873251,"Included in the
analysis",Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region,2010,Peru,PER,Americas,129259.961094799
1133,-4.6002509,-73.409591,"Included in the
analysis",Yacumama Forest Carbon Project,2010,Peru,PER,Americas,3019.8091086601003
1067,-13.0333441,-69.9528355,"Included in the
analysis",Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios region –Peru,2010,Peru,PER,Americas,565849.015897625
944,-5.780293800000002,-77.5476379,"Included in the
analysis",Alto Mayo Conservation Initiative,2007,Peru,PER,Americas,178703.95462500802
844,-11.08754,-69.70909,"Included in the
analysis",Madre de Dios Amazon REDD Project,2009,Peru,PER,Americas,98539.2154006461
PL1455,-5.857990499999998,-79.7395731,Forest type excluded,Reduction of the deforestation and degradation of tropical dry forests in Piura and Lambayeque,2013,Peru,PER,Americas,39791.6094636525
985,-7.0839766,-75.9871454,"Included in the
analysis",Cordillera Azul National Park REDD project,2008,Peru,PER,Americas,1362722.5390197001
868,-12.1946249,-69.6352871,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
PL1218,-12.6870749,-69.2149424,"Included in the
analysis","Evio Kuiñaji Ese´Eja Cuana, To Mitigate Climate Change, Madre de Dios - Perú",2011,Peru,PER,Americas,8723.850148079591
1201,7.606173999999998,-11.020161,Not matched,Gola REDD project,2012,Sierra Leone,SLE,Africa,70648.66037063701
1325,-9.9398125,39.4586776,Forest type excluded,Mjumita Community Forest Project (Lindi),2010,Tanzania,TZA,Africa,66528.0275938066
PL1381,-6.133,39.317,"Unavailable
geospatial data",NA,NA,NA,NA,NA,NA
1532,-11.9254213,33.1858492,Forest type excluded,COMACO Landscape Management Project,2012,Zambia,ZMB,Africa,1426029.71584725
1202,-15.4946336,29.2966488,Forest type excluded,LOWER ZAMBEZI REDD+ PROJECT,2009,Zambia,ZMB,Africa,40334.4789969271
902,-17.2380528,28.061029,Forest type excluded,KARIBA REDD+ PROJECT,2011,Zimbabwe,ZWE,Africa,1075622.84604409
